Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisaoExt,PerdasSinalFracoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
BR,1,500,13585.5,27.1711,8.69961,0.0869565,0.559814,0.114898,0,0,347.826,21.7391,43.4783,43.4783,0,43.4783,32
BR,1,500,12432.6,24.8652,4.36231,0.0434783,0.589119,0.1149,0,0,304.348,21.7391,86.9565,21.7391,21.7391,43.4783,30
BR,1,500,13081.2,26.1624,0,0,0.611859,0,0,0,304.348,86.9565,21.7391,0,65.2174,21.7391,33
BR,1,1000,23265.3,23.2653,4.34783,0.0434783,1.30407,0.114898,0,0,478.261,217.391,108.696,86.9565,21.7391,86.9565,1
BR,1,1000,20731,20.731,10.8686,0.108696,1.29238,0.114899,0,0,456.522,86.9565,173.913,86.9565,86.9565,108.696,3
BR,1,1000,26094.3,26.0943,6.52931,0.0652174,1.40921,0.114899,0,0,652.174,65.2174,86.9565,65.2174,21.7391,108.696,2
BR,1,1000,22655.7,22.6557,2.16634,0.0217391,1.22499,0.114898,0,0,500,108.696,195.652,43.4783,108.696,43.4783,4
BR,1,1000,26650.3,26.6503,2.16667,0.0217391,1.29718,0.114898,0,0,652.174,86.9565,108.696,65.2174,21.7391,65.2174,6
BR,1,1000,25273.4,25.2734,4.34848,0.0434783,1.49977,0.114898,0,0,565.217,152.174,173.913,21.7391,21.7391,65.2174,5
BR,1,1000,23139.9,23.1399,6.49508,0.0652174,1.4369,0.114897,0,0,456.522,217.391,195.652,65.2174,0,65.2174,7
BR,1,1000,25379.2,25.3792,4.34848,0.0434783,1.44014,0.114898,0,0,543.478,217.391,108.696,65.2174,21.7391,43.4783,8
BR,1,1000,26506.2,26.5062,2.16667,0.0217391,1.46487,0.114898,0,0,652.174,86.9565,86.9565,65.2174,43.4783,65.2174,9
BR,1,1000,23385.2,23.3852,6.52635,0.0652174,1.22247,0.114898,0,0,543.478,86.9565,108.696,173.913,21.7391,65.2174,10
BR,1,1000,22920.8,22.9208,6.51416,0.0652174,1.21462,0.114898,0,0,500,152.174,108.696,108.696,43.4783,86.9565,12
BR,1,1000,25502.4,25.5024,4.33465,0.0434783,1.22463,0.114898,0,0,565.217,195.652,86.9565,43.4783,43.4783,65.2174,13
BR,1,1000,25095.5,25.0955,4.33333,0.0434783,1.5296,0.114898,0,0,565.217,152.174,130.435,65.2174,21.7391,65.2174,11
BR,1,1000,26887.2,26.8872,2.18314,0.0217391,1.25733,0.114899,0,0,630.435,152.174,65.2174,108.696,21.7391,21.7391,15
BR,1,1000,23495.2,23.4952,8.70224,0.0869565,1.54627,0.114899,0,0,543.478,108.696,108.696,86.9565,43.4783,108.696,14
BR,1,1000,21117.5,21.1175,6.51713,0.0652174,1.46452,0.114898,0,0,500,43.4783,86.9565,217.391,43.4783,108.696,16
BR,1,1000,23372.6,23.3726,8.69961,0.0869565,1.31604,0.114898,0,0,565.217,43.4783,152.174,86.9565,43.4783,108.696,18
